fecha,PIB,crédito hipotecario,percentage
01/10/1996,  3 474 473,"304,706.2",8.769853089
01/01/1997,  3 593 692,"329,182.3",9.160002099
01/04/1997,  3 902 793,"337,529.2",8.648401818
01/07/1997,  4 000 911,"338,939.1",8.471548048
01/10/1997,  4 352 700,"343,624.6",7.894515197
01/01/1998,  4 513 432,"359,507.5",7.965280893
01/04/1998,  4 726 991,"368,745.9",7.800858486
01/07/1998,  4 869 908,"374,854.3",7.697359511
01/10/1998,  5 130 163,"405,068.9",7.895828505
01/01/1999,  5 362 992,"428,867.1",7.996787911
01/04/1999,  5 652 895,"431,672.1",7.636301548
01/07/1999,  5 846 010,"426,307.3",7.2922778
01/10/1999,  6 091 968,"437,151.4",7.175864548
01/01/2000,  6 412 027,"460,323.4",7.179062494
01/04/2000,  6 660 435,"466,609.1",7.00568454
01/07/2000,  6 803 750,"464,906.8",6.833096521
01/10/2000,  6 898 520,"452,986.6",6.566431659
01/01/2001,  6 972 344,"467,161.2",6.700202717
01/04/2001,  7 097 269,"464,737.7",6.548119887
01/07/2001,  7 098 961,"470,165.0",6.623011625
01/10/2001,  7 108 935,"481,717.1",6.776220593
01/01/2002,  6 989 365,"497,655.0",7.120175049
01/04/2002,  7 583 212,"510,291.9",6.729231862
01/07/2002,  7 550 711,"522,974.5",6.926162154
01/10/2002,  7 698 549,"538,889.2",6.999879933
01/01/2003,  7 745 443,"553,480.6",7.145887
01/04/2003,  7 880 575,"565,322.7",7.173622301
01/07/2003,  7 771 537,"578,272.6",7.440904306
01/10/2003,  8 077 683,"589,506.5",7.297964824
01/01/2004,  8 346 934,"612,605.9",7.339292776
01/04/2004,  8 882 221,"626,926.2",7.058214737
01/07/2004,  8 844 033,"643,151.2",7.272148323
01/10/2004,  9 240 282,"666,218.0",7.2099311
01/01/2005,  9 061 147,"692,194.9",7.63915285
01/04/2005,  9 643 592,"697,501.6",7.232798399
01/07/2005,  9 574 367,"705,694.6",7.37066616
01/10/2005,  9 971 486,"728,127.7",7.302098209
01/01/2006,  10 100 429,"773,123.7",7.654364621
01/04/2006,  10 757 668,"785,380.6",7.300658245
01/07/2006,  10 703 482,"806,759.2",7.537352782
01/10/2006,  10 962 178,"832,754.7",7.596617288
01/01/2007,  10 923 991,"843,810.4",7.72437825
01/04/2007,  11 486 480,"854,192.4",7.436502469
01/07/2007,  11 518 670,"879,899.6",7.638899344
01/10/2007,  12 087 161,"1,030,001.6",8.521452146
01/01/2008,  11 782 116,"1,077,239.3",9.143003768
01/04/2008,  12 721 061,"1,091,021.4",8.576496756
01/07/2008,  12 484 779,"1,116,950.1",8.946494938
01/10/2008,  12 427 425,"1,110,360.7",8.934760619
01/01/2009,  11 655 055,"1,173,127.2",10.06539426
01/04/2009,  11 942 363,"1,185,151.2",9.923925458
01/07/2009,  12 197 786,"1,196,543.4",9.809512809
01/10/2009,  12 855 848,"1,167,143.8",9.078699745
01/01/2010,  12 783 183,"1,224,732.5",9.580809966
01/04/2010,  13 282 296,"1,236,097.1",9.30635123
01/07/2010,  13 346 024,"1,250,547.0",9.370184078
01/10/2010,  14 054 006,"1,273,815.1",9.063715528
01/01/2011,  13 909 575,"1,331,748.9",9.574331939
01/04/2011,  14 375 876,"1,361,692.5",9.472066268
01/07/2011,  14 641 733,"1,380,505.2",9.428564203
01/10/2011,  15 735 122,"1,393,446.0",8.855641723
01/01/2012,  15 412 890,"1,456,151.6",9.447622366
01/04/2012,  15 711 134,"1,468,574.2",9.347347107
01/07/2012,  15 770 745,"1,499,704.6",9.509408526
01/10/2012,  16 376 250,"1,511,822.1",9.231796778
01/01/2013,  15 768 220,"1,553,420.4",9.85159013
01/04/2013,  16 198 357,"1,556,541.2",9.609253544
01/07/2013,  16 203 580,"1,595,820.5",9.848567152
01/10/2013,  16 938 591,"1,603,390.1",9.465900158
01/01/2014,  16 770 208,"1,671,613.2",9.967754546
01/04/2014,  17 427 719,"1,677,934.9",9.627966261
01/07/2014,  17 460 953,"1,719,009.9",9.844880174
01/10/2014,  18 278 342,"1,728,829.0",9.458346837
01/01/2015,  17 779 840,"1,820,720.5",10.24036494
01/04/2015,  18 501 748,"1,830,301.0",9.892583987
01/07/2015,  18 690 045,"1,871,220.1",10.01185444
01/10/2015,  19 316 804,"1,890,949.7",9.789143559
01/01/2016,  18 972 754,"1,975,268.2",10.41107798
01/04/2016,  19 984 657,"2,008,428.9",10.04985443
01/07/2016,  20 162 873,"2,057,892.1",10.2063437
01/10/2016,  21 395 946,"2,072,998.2",9.688742832
01/01/2017,  21 324 977,"2,148,079.3",10.07306743
01/04/2017,  21 810 373,"2,174,849.7",9.971629907
01/07/2017,  21 725 326,"2,223,660.0",10.23533526
01/10/2017,  22 875 994,"2,253,141.2",9.849369734
01/01/2018,  22 667 669,"2,342,792.0",10.33539012
01/04/2018,  23 643 974,"2,356,093.3",9.964878782
01/07/2018,  23 390 678,"2,409,929.5",10.30294862
01/10/2018,  24 390 669,"2,432,473.2",9.972966438
01/01/2019,  24 092 493,"2,535,503.1",10.52403805
01/04/2019,  24 513 149,"2,562,795.3",10.45477795
01/07/2019,  24 272 254,"2,610,191.1",10.75380589
01/10/2019,  24 894 161,"2,594,628.7",10.42263957
01/01/2020,  24 490 709,"2,676,349.8",10.92802085
01/04/2020,  20 045 950,"2,710,096.3",13.51942043
01/07/2020,  23 089 847,"2,768,662.7",11.99082329
01/10/2020,  24 861 588,"2,796,638.4",11.24883251
