time,value,group,percentage
01/01/2004,624435.9,A,0.669225919
01/01/2004,32885.3,B,0.035244122
01/01/2004,80491.4,C,0.086264949
01/01/2004,187250,D,0.200681212
01/01/2004,8009.3,E,0.008583797
01/01/2004,212.6,F,0.00022785
01/02/2004,628582.8,A,0.672522674
01/02/2004,32581.2,B,0.034858726
01/02/2004,77823.4,C,0.083263495
01/02/2004,187606.4,D,0.200720665
01/02/2004,8070.3,E,0.008634439
01/02/2004,267.5,F,0.000286199
01/03/2004,632759.2,A,0.670098282
01/03/2004,33803.6,B,0.035798348
01/03/2004,81975,C,0.08681234
01/03/2004,187752.1,D,0.19883134
01/03/2004,7988.3,E,0.008459689
01/03/2004,376.4,F,0.000398611
01/04/2004,640980.8,A,0.673132432
01/04/2004,34531.6,B,0.036263707
01/04/2004,84120.1,C,0.088339569
01/04/2004,184497.7,D,0.193752115
01/04/2004,8105.6,E,0.008512177
01/04/2004,111.5,F,0.000117093
01/05/2004,648379.7,A,0.67613462
01/05/2004,36903.8,B,0.038483526
01/05/2004,82696.6,C,0.086236559
01/05/2004,182824.7,D,0.190650801
01/05/2004,8145.8,E,0.008494494
01/05/2004,257.1,F,0.000268106
01/06/2004,648857.5,A,0.675302972
01/06/2004,40141.5,B,0.041777546
01/06/2004,82601.5,C,0.085968088
01/06/2004,181266.2,D,0.188654063
01/06/2004,7972.4,E,0.008297331
01/06/2004,333.1,F,0.000346676
01/07/2004,653191.1,A,0.67712061
01/07/2004,39649.6,B,0.041102154
01/07/2004,82305.2,C,0.085320433
01/07/2004,181253.8,D,0.187893992
01/07/2004,8260.2,E,0.008562811
01/07/2004,525.4,F,0.000544648
01/08/2004,659296.4,A,0.676324492
01/08/2004,40800.7,B,0.041854487
01/08/2004,85766.8,C,0.087981957
01/08/2004,180972.6,D,0.185646701
01/08/2004,7986.1,E,0.008192362
01/08/2004,100,F,0.000102583
01/09/2004,676081.7,A,0.683732807
01/09/2004,41373.6,B,0.041841818
01/09/2004,82515.7,C,0.083449517
01/09/2004,180536.7,D,0.182579805
01/09/2004,8302.1,E,0.008396054
01/09/2004,165.7,F,0.000167575
01/10/2004,705854.3,A,0.689932116
01/10/2004,44760.5,B,0.043750823
01/10/2004,85252.8,C,0.083329725
01/10/2004,177036,D,0.173042542
01/10/2004,10174.3,E,0.009944795
01/10/2004,158.6,F,0.000155022
01/11/2004,716081.9,A,0.702034678
01/11/2004,43634.6,B,0.04277863
01/11/2004,92487.6,C,0.090673291
01/11/2004,158660,D,0.155547601
01/11/2004,9145.2,E,0.008965801
01/11/2004,200.2,F,0.000196273
01/12/2004,727597.5,A,0.732628238
01/12/2004,46264.5,B,0.046584381
01/12/2004,103555.9,C,0.104271904
01/12/2004,106352.2,D,0.107087538
01/12/2004,9363.2,E,0.009427939
01/12/2004,471.8,F,0.000475062
01/01/2005,733898.3,A,0.736344732
01/01/2005,45194.7,B,0.045345355
01/01/2005,101447.1,C,0.101785271
01/01/2005,106625.7,D,0.106981134
01/01/2005,9511.8,E,0.009543507
01/01/2005,253.5,F,0.000254345
01/02/2005,738137.1,A,0.735212571
01/02/2005,47733.1,B,0.04754398
01/02/2005,101667.1,C,0.101264291
01/02/2005,106581,D,0.106158722
01/02/2005,9859.5,E,0.009820436
01/02/2005,405.5,F,0.000403893
01/03/2005,744521,A,0.732357638
01/03/2005,48635.5,B,0.047840934
01/03/2005,105164.8,C,0.103446705
01/03/2005,109353,D,0.107566482
01/03/2005,8934.2,E,0.008788241
01/03/2005,616.6,F,0.000606527
01/04/2005,763970.2,A,0.735877701
01/04/2005,52286.8,B,0.050364124
01/04/2005,104502.3,C,0.100659571
01/04/2005,108163.2,D,0.104185853
01/04/2005,9253,E,0.008912751
01/04/2005,813.6,F,0.000783683
01/05/2005,774213.1,A,0.733210225
01/05/2005,54435.2,B,0.051552273
01/05/2005,106948.2,C,0.101284147
01/05/2005,113488.4,D,0.107477974
01/05/2005,6837.5,E,0.006475381
01/05/2005,703.3,F,0.000666053
01/06/2005,776259.6,A,0.738057732
01/06/2005,54106.5,B,0.05144377
01/06/2005,106460.8,C,0.101221571
01/06/2005,109466.5,D,0.104079353
01/06/2005,5466.6,E,0.005197574
01/06/2005,774.7,F,0.000736575
01/07/2005,782276.1,A,0.738112121
01/07/2005,53634.2,B,0.050606241
01/07/2005,107595.3,C,0.101520927
01/07/2005,109729.9,D,0.103535017
01/07/2005,6598.2,E,0.006225694
01/07/2005,679,F,0.000640667
01/08/2005,783518.8,A,0.733715649
01/08/2005,55273.9,B,0.051760501
01/08/2005,112021.6,C,0.104901122
01/08/2005,109583.3,D,0.102617808
01/08/2005,7480.4,E,0.00700492
01/08/2005,644.3,F,0.000603346
01/09/2005,781227.2,A,0.732220625
01/09/2005,57173.5,B,0.053586992
01/09/2005,103922.6,C,0.09740351
01/09/2005,116557.3,D,0.109245632
01/09/2005,8048.1,E,0.007543241
01/09/2005,614.6,F,0.000576046
01/10/2005,800468.8,A,0.736270503
01/10/2005,56988.5,B,0.052417973
01/10/2005,101461,C,0.093323739
01/10/2005,118982.4,D,0.109439908
01/10/2005,9293.2,E,0.008547877
01/10/2005,567.5,F,0.000521986
01/11/2005,826263.3,A,0.745982795
01/11/2005,60090.7,B,0.054252232
01/11/2005,99909.5,C,0.090202201
01/11/2005,113116.3,D,0.102125816
01/11/2005,8237.3,E,0.007436956
01/11/2005,902.7,F,0.000814993
01/12/2005,860228.5,A,0.750455999
01/12/2005,62014.6,B,0.054101008
01/12/2005,102862.5,C,0.089736367
01/12/2005,112919.8,D,0.098510269
01/12/2005,8249,E,0.007196357
01/12/2005,958.2,F,0.000835925
01/01/2006,870167.7,A,0.754419265
01/01/2006,59549.1,B,0.051627966
01/01/2006,102934.4,C,0.089242217
01/01/2006,113026.4,D,0.097991794
01/01/2006,7749.6,E,0.00671876
01/01/2006,1017.1,F,0.000881807
01/02/2006,890315.5,A,0.760795082
01/02/2006,58640.3,B,0.050109486
01/02/2006,100830.6,C,0.086162068
01/02/2006,112858.2,D,0.096439929
01/02/2006,7598.9,E,0.006493435
01/02/2006,1006.5,F,0.000860077
01/03/2006,913508.8,A,0.780614291
01/03/2006,59892.4,B,0.049939864
01/03/2006,101756.4,C,0.084847173
01/03/2006,113294.4,D,0.094467862
01/03/2006,10838.4,E,0.009037344
01/03/2006,1078.9,F,0.000899615
01/04/2006,945764.7,A,0.770078837
01/04/2006,61863.5,B,0.050371696
01/04/2006,97718.7,C,0.079566411
01/04/2006,113236.1,D,0.092201289
01/04/2006,9557.1,E,0.007781767
01/04/2006,1097.3,F,0.000893465
01/05/2006,961475.1,A,0.774720384
01/05/2006,61330.2,B,0.049417563
01/05/2006,99758.9,C,0.08038196
01/05/2006,109993.8,D,0.088628857
01/05/2006,8502.8,E,0.006851236
01/05/2006,1638.3,F,0.00132008
01/06/2006,977228.4,A,0.784050445
01/06/2006,54886.1,B,0.044036247
01/06/2006,96698,C,0.077582794
01/06/2006,109780.1,D,0.088078832
01/06/2006,7792,E,0.006251682
01/06/2006,2243.6,F,0.001800086
01/07/2006,990634.9,A,0.787833358
01/07/2006,54982.8,B,0.04372679
01/07/2006,95766.6,C,0.076161381
01/07/2006,108919.1,D,0.086621318
01/07/2006,7113.4,E,0.005657154
01/07/2006,1898.2,F,0.001509603
01/08/2006,1008071.9,A,0.8007562
01/08/2006,56074.8,B,0.0445427
01/08/2006,95834.5,C,0.076125592
01/08/2006,92016.1,D,0.073092467
01/08/2006,6902.6,E,0.005483041
01/08/2006,1601.9,F,0.00127246
01/09/2006,1042630.3,A,0.81194471
01/09/2006,55445.6,B,0.043178068
01/09/2006,96703.3,C,0.075307358
01/09/2006,82982.9,D,0.064622644
01/09/2006,6352.8,E,0.004947221
01/09/2006,1646.8,F,0.00128244
01/10/2006,1072553.7,A,0.82277955
01/10/2006,55920.2,B,0.042897616
01/10/2006,93786.2,C,0.071945458
01/10/2006,73913.9,D,0.05670098
01/10/2006,7399.6,E,0.005676396
01/10/2006,1775.9,F,0.001362332
01/11/2006,1099999.6,A,0.822106174
01/11/2006,61433.2,B,0.045913301
01/11/2006,96845.3,C,0.072379225
01/11/2006,71154.5,D,0.053178705
01/11/2006,8593.6,E,0.006422595
01/11/2006,1874.9,F,0.001401243
01/12/2006,1134434.4,A,0.826865371
01/12/2006,60671.3,B,0.044222034
01/12/2006,94721,C,0.069040144
01/12/2006,70919.3,D,0.051691586
01/12/2006,11223.9,E,0.008180865
01/12/2006,2399.2,F,0.001748726
01/01/2007,1130413.6,A,0.822570169
01/01/2007,60733.9,B,0.04419435
01/01/2007,99009.3,C,0.072046282
01/01/2007,71120.1,D,0.051752096
01/01/2007,12968.9,E,0.009437104
01/01/2007,2248.3,F,0.001636025
01/02/2007,1166441.2,A,0.827221725
01/02/2007,60577.7,B,0.042960751
01/02/2007,97988.9,C,0.069492184
01/02/2007,71049.3,D,0.050387044
01/02/2007,14013.7,E,0.009938295
01/02/2007,2094.7,F,0.001485528
01/03/2007,1191187.8,A,0.827826457
01/03/2007,64016.5,B,0.044488831
01/03/2007,98218,C,0.068257464
01/03/2007,69842.2,D,0.048537452
01/03/2007,15669.7,E,0.010889796
01/03/2007,2663,F,0.001850675
