anio,salario_manuf,po_tot,po_manuf,pib_tot,pib_manuf,salario_anual_totreal,tc,salario_pesonom,sal_pesoreal
2007,2.491666667,45246080,7420913,14844627.68,2483685.95,187909.5033,10.9274,27.22743834,44.59144103
2008,2.6,44798686,6997919,14981468.53,2477780.925,186281.11,11.1438,28.97388,45.38330469
2009,2.25,46343704,6946946,14221255.85,2469945.875,187801.9092,13.4983,30.371175,45.19529068
2010,2.45,45911934,7067898,14950555.43,2460221.875,175943.8052,12.6287,30.940315,44.08893775
2011,2.583333333,48307467,7334547,15499474.53,2440374.85,177524.9397,12.4301,32.11109166,44.59900986
2012,2.575,48822271,7530471,16031219.15,2361541.05,174344.5423,13.1689,33.9099175,44.59783663
2013,2.75,49945599,7919277,16284717.03,2271673.8,174486.5557,12.7696,35.1164,44.98997757
2014,2.783333333,49823798,7943142,16749897.15,2213474.975,174271.703,13.3032,37.02724,45.26143311
2015,2.433333333,51568519,8309088,17304581.3,2200399.075,176478.995,15.881,38.64376666,45.82019474
2016,2.258333333,52123674,8528629,17718787.35,2247864.025,175235.7027,18.6886,42.20508833,46.84271325
2017,2.4,52865845,8752268,18132136.98,2316908.9,175264.3846,18.9066,45.37584,47.37478451
2018,2.516666667,54194608,9090533,18526322.63,2367195.575,177294.0686,19.2373,48.41387167,48.3121702
2019,2.725,55683450,9172562,18517060.33,2392814.775,181562.7331,19.2574,52.476415,50.30978815
2020,2.7,53331429,8708562,16949728.08,2416954.125,182000,20,54,53.98594701
