Fecha,Total,total deflactado,Cuentas de cheques,cuentas de cheques deflactado,A la vista en cuenta corriente,a la vista deflactado,Depósitos de nómina y otros retirábles sólo con tarjeta de debito,depósitos de nómina deflactado,Cuentas de Ahorro,cuentas de ahorro deflactado, Depósitos Retirables en días Preestablecidos,depósitos retirables deflactado,Depósitos a Plazo,depósitos a plazo deflactado,Pagarés con Rendimiento Liquidable al Vencimiento,pagarés deflactado,"Banca de inversión y reportos, Saldos",banca de inversión deflactado,PROMEDIO INPC 2018
1986,"11,369,185.00","996,865,850.96","1,698,097.00","148,891,491.42",,,,,"431,105.00","37,799,882.11","126,767.00","11,115,105.73","4,750,733.00","416,550,834.09","4,362,483.00","382,508,537.60",,0,1.143406005
1987,"26,524,403.00","1,003,201,663.11","3,220,469.00","121,804,055.56",,,,,"735,144.00","27,804,496.99","133,902.00","5,064,419.70","11,690,218.00","442,145,526.88","10,744,670.00","406,383,163.97",,0,2.650728385
1988,"51,434,456.00","908,351,335.25","6,433,444.00","113,616,977.84",,,,,"1,204,757.00","21,276,449.97","118,788.00","2,097,839.60","2,995,850.00","52,907,808.49","40,681,617.00","718,452,259.36",,0,5.676859507
1989,"152,513,081.00","2,244,383,381.88","6,948,241.00","102,250,354.73",,,,,"1,230,254.00","18,104,424.98","66,249.00","974,920.67","224,029.00","3,296,812.06","18,623,097.00","274,057,603.14","63,141,604.00","929,192,209.57",6.812678659
1990,"202,778,373.00","2,356,137,605.00","12,566,921.00","146,018,506.36",,,,,"1,427,341.00","16,584,667.07","66,641.00","774,320.08","105,006.00","1,220,093.55","66,203,971.00","769,242,120.68","75,077,823.00","872,349,844.09",8.62837154
1991,"261,373,196.00","2,475,875,088.88","24,698,833.00","233,961,348.31",,,,,"1,839,486.00","17,424,654.22","69,368.00","657,093.02","937,389.00","8,879,480.03","119,252,767.00","1,129,629,815.20","76,901,985.00","728,459,198.80",10.58376462
1992,"346,190,586.00","2,839,038,302.26","71,474,147.00","586,144,884.24",,,,,"2,000,801.00","16,408,160.43","19,588,955.00","160,645,019.81","3,287,405.00","26,959,337.10","108,066,648.00","886,232,512.60","76,901,985.00","630,657,475.29",12.22508413
1993,"327,436,947.00","2,446,658,595.06","86,918,082.00","649,465,108.75",,,,,"1,851,878.00","13,837,513.66","13,271,649.00","99,167,776.86","17,742,713.00","132,576,246.08","142,071,309.00","1,061,578,396.88","63,775,236.00","476,538,248.79",13.41720836
1994,"372,607,871.00","2,602,871,435.69","92,181,142.00","643,936,105.74",,,,,"1,939,862.00","13,551,005.71","10,267,173.00","71,721,864.75","22,384,722.00","156,369,626.15","164,993,870.00","1,152,573,159.91","78,249,364.00","546,614,954.40",14.35182604
1995,"497,668,141.00","2,575,189,149.28","68,052,758.00","352,139,728.35",,,,,"1,500,933.00","7,766,593.95","6,669,342.00","34,510,581.92","35,380,038.00","183,074,387.23","267,243,517.00","1,382,854,453.59","114,787,501.00","593,969,158.75",19.37485943
