Título,Total,total deflactado,Sector privado no financiero,sector privado no financiero deflactado,Sector financiero no bancario,sector financiero no bancario deflactado,Sector público,sector público deflactado,Otros sectores,otros sectores deflactados,Sector externo,sector externo deflactado,Crédito a banca comercial,crédito a banca comercial deflactado,INPC mensual
Ene 2004,"933,071.9","1,681,172.7","624,435.9","1,125,084.4","32,885.3","59,251.5","80,491.4","145,026.3","187,250.0","337,379.8","8,009.3","14,430.8",212.6,383.1,55.77431735
Feb 2004,"934,664.1","1,674,027.9","628,582.8","1,125,821.7","32,581.2","58,354.5","77,823.4","139,385.4","187,606.4","336,012.0","8,070.3","14,454.3",267.5,479.1,56.10794476
Mar 2004,"944,278.2","1,685,535.6","632,759.2","1,129,474.5","33,803.6","60,339.4","81,975.0","146,325.3","187,752.1","335,137.3","7,988.3","14,259.1",376.4,671.9,56.29807094
Abr 2004,"952,235.8","1,697,178.7","640,980.8","1,142,426.0","34,531.6","61,546.0","84,120.1","149,928.0","184,497.7","328,832.0","8,105.6","14,446.7",111.5,198.7,56.38303195
May 2004,"958,950.6","1,713,444.5","648,379.7","1,158,519.1","36,903.8","65,939.4","82,696.6","147,761.6","182,824.7","326,669.6","8,145.8","14,554.8",257.1,459.4,56.24160294
Jun 2004,"960,839.1","1,714,071.6","648,857.5","1,157,517.6","40,141.5","71,609.7","82,601.5","147,355.5","181,266.2","323,366.6","7,972.4","14,222.2",333.1,594.2,56.33174451
Jul 2004,"964,659.9","1,716,389.0","653,191.1","1,162,202.4","39,649.6","70,547.3","82,305.2","146,443.0","181,253.8","322,499.2","8,260.2","14,697.1",525.4,934.8,56.47939018
Ago 2004,"974,822.6","1,723,829.8","659,296.4","1,165,868.3","40,800.7","72,150.0","85,766.8","151,665.9","180,972.6","320,023.3","7,986.1","14,122.2",100.0,176.8,56.82804118
Sep 2004,"988,809.8","1,734,224.9","676,081.7","1,185,746.5","41,373.6","72,563.1","82,515.7","144,720.2","180,536.7","316,634.4","8,302.1","14,560.6",165.7,290.6,57.29791705
Oct 2004,"1,023,077.9","1,781,984.5","705,854.3","1,229,448.3","44,760.5","77,963.3","85,252.8","148,492.3","177,036.0","308,359.1","10,174.3","17,721.5",158.6,276.2,57.69474717
Nov 2004,"1,020,009.3","1,761,612.6","716,081.9","1,236,713.1","43,634.6","75,359.4","92,487.6","159,731.2","158,660.0","274,014.6","9,145.2","15,794.3",200.2,345.8,58.1868994
Dic 2004,"993,133.3","1,711,660.7","727,597.5","1,254,011.0","46,264.5","79,736.7","103,555.9","178,478.1","106,352.2","183,297.5","9,363.2","16,137.4",471.8,813.1,58.30708815
Ene 2005,"996,677.6","1,717,708.2","733,898.3","1,264,825.4","45,194.7","77,890.1","101,447.1","174,837.4","106,625.7","183,762.4","9,511.8","16,393.0",253.5,436.9,58.30916037
Feb 2005,"1,003,977.8","1,724,543.9","738,137.1","1,267,906.4","47,733.1","81,991.7","101,667.1","174,634.7","106,581.0","183,075.4","9,859.5","16,935.8",405.5,696.5,58.50343099
Mar 2005,"1,016,608.5","1,738,404.4","744,521.0","1,273,133.7","48,635.5","83,166.9","105,164.8","179,832.2","109,353.0","186,994.0","8,934.2","15,277.5",616.6,"1,054.4",58.76712098
Abr 2005,"1,038,175.5","1,768,984.0","763,970.2","1,301,755.8","52,286.8","89,093.3","104,502.3","178,065.2","108,163.2","184,303.1","9,253.0","15,766.5",813.6,"1,386.3",58.97641519
May 2005,"1,055,922.4","1,803,755.0","774,213.1","1,322,531.6","54,435.2","92,987.7","106,948.2","182,691.8","113,488.4","193,863.9","6,837.5","11,680.0",703.3,"1,201.4",58.82825146
Jun 2005,"1,051,760.0","1,798,370.9","776,259.6","1,327,301.6","54,106.5","92,515.0","106,460.8","182,033.9","109,466.5","187,173.3","5,466.6","9,347.2",774.7,"1,324.6",58.77178347
Jul 2005,"1,059,833.7","1,805,111.2","782,276.1","1,332,374.4","53,634.2","91,349.9","107,595.3","183,256.6","109,729.9","186,892.2","6,598.2","11,238.1",679.0,"1,156.5",59.00179988
Ago 2005,"1,067,878.0","1,816,642.9","783,518.8","1,332,899.4","55,273.9","94,030.3","112,021.6","190,567.9","109,583.3","186,419.9","7,480.4","12,725.4",644.3,"1,096.1",59.07225536
Sep 2005,"1,066,928.7","1,807,782.8","781,227.2","1,323,695.8","57,173.5","96,873.6","103,922.6","176,084.4","116,557.3","197,492.4","8,048.1","13,636.5",614.6,"1,041.4",59.30900649
Oct 2005,"1,087,193.9","1,837,609.3","800,468.8","1,352,977.5","56,988.5","96,323.8","101,461.0","171,492.6","118,982.4","201,107.8","9,293.2","15,707.7",567.5,959.2,59.45457994
Nov 2005,"1,107,617.1","1,858,751.2","826,263.3","1,386,596.4","60,090.7","100,841.4","99,909.5","167,663.5","113,116.3","189,826.5","8,237.3","13,823.5",902.7,"1,514.9",59.88249335
Dic 2005,"1,146,274.4","1,911,880.7","860,228.5","1,434,782.3","62,014.6","103,434.7","102,862.5","171,565.2","112,919.8","188,339.9","8,249.0","13,758.6",958.2,"1,598.2",60.25031239
Ene 2006,"1,153,427.2","1,912,595.2","870,167.7","1,442,898.7","59,549.1","98,743.4","102,934.4","170,684.2","113,026.4","187,418.6","7,749.6","12,850.3","1,017.1","1,686.5",60.60362589
Feb 2006,"1,170,243.5","1,937,515.1","890,315.5","1,474,052.0","58,640.3","97,087.9","100,830.6","166,940.3","112,858.2","186,853.8","7,598.9","12,581.1","1,006.5","1,666.4",60.69635773
Mar 2006,"1,199,290.4","1,983,118.5","913,508.8","1,510,556.7","59,892.4","99,036.7","101,756.4","168,262.0","113,294.4","187,341.0","10,838.4","17,922.1","1,078.9","1,784.0",60.77251181
Abr 2006,"1,228,140.1","2,027,850.4","945,764.7","1,561,604.7","61,863.5","102,146.3","97,718.7","161,348.8","113,236.1","186,970.4","9,557.1","15,780.3","1,097.3","1,811.8",60.86161727
May 2006,"1,241,060.8","2,058,347.8","961,475.1","1,594,644.0","61,330.2","101,718.5","99,758.9","165,454.0","109,993.8","182,429.0","8,502.8","14,102.2","1,638.3","2,717.2",60.59067451
Jun 2006,"1,246,384.6","2,065,393.9","977,228.4","1,619,373.0","54,886.1","90,952.2","96,698.0","160,239.0","109,780.1","181,917.5","7,792.0","12,912.2","2,243.6","3,717.9",60.64299806
Jul 2006,"1,257,416.8","2,077,977.3","990,634.9","1,637,099.8","54,982.8","90,863.3","95,766.6","158,261.6","108,919.1","179,997.1","7,113.4","11,755.4","1,898.2","3,136.9",60.80929371
Ago 2006,"1,258,899.9","2,069,865.5","1,008,071.9","1,657,457.6","56,074.8","92,197.4","95,834.5","157,569.7","92,016.1","151,291.6","6,902.6","11,349.2","1,601.9","2,633.8",61.11960865
Sep 2006,"1,284,114.9","2,090,222.8","1,042,630.3","1,697,145.3","55,445.6","90,251.8","96,703.3","157,409.2","82,982.9","135,075.7","6,352.8","10,340.8","1,646.8","2,680.6",61.73661213
Oct 2006,"1,303,573.6","2,112,660.4","1,072,553.7","1,738,253.8","55,920.2","90,628.1","93,786.2","151,996.3","73,913.9","119,789.9","7,399.6","11,992.3","1,775.9","2,878.1",62.00651878
Nov 2006,"1,338,026.2","2,157,178.3","1,099,999.6","1,773,429.6","61,433.2","99,043.2","96,845.3","156,134.9","71,154.5","114,715.9","8,593.6","13,854.7","1,874.9","3,022.7",62.3318573
Dic 2006,"1,371,969.9","2,199,181.2","1,134,434.4","1,818,426.8","60,671.3","97,252.3","94,721.0","151,831.8","70,919.3","113,679.2","11,223.9","17,991.2","2,399.2","3,845.8",62.69242357
Ene 2007,"1,374,245.8","2,191,510.9","1,130,413.6","1,802,671.5","60,733.9","96,852.4","99,009.3","157,890.2","71,120.1","113,415.3","12,968.9","20,681.5","2,248.3","3,585.4",63.01620793
Feb 2007,"1,410,070.8","2,242,373.4","1,166,441.2","1,854,940.0","60,577.7","96,334.0","97,988.9","155,827.4","71,049.3","112,986.6","14,013.7","22,285.4","2,094.7","3,331.1",63.19234663
Mar 2007,"1,438,934.2","2,283,331.8","1,191,187.8","1,890,202.4","64,016.5","101,582.8","98,218.0","155,854.4","69,842.2","110,827.1","15,669.7","24,865.0","2,663.0","4,225.7",63.32911314
Abr 2007,"1,464,389.2","2,325,112.8","1,215,466.2","1,929,880.4","64,267.7","102,042.3","101,177.5","160,646.6","68,752.6","109,163.3","14,725.2","23,380.2","2,763.1","4,387.2",63.29129513
May 2007,"1,485,028.0","2,369,441.5","1,238,584.4","1,976,227.6","64,376.9","102,716.8","98,562.6","157,261.9","68,601.7","109,457.7","14,902.4","23,777.6","2,115.0","3,374.6",62.98253436
Jun 2007,"1,523,949.6","2,428,626.5","1,274,042.2","2,030,364.2","65,508.4","104,396.8","101,255.2","161,364.3","68,659.9","109,419.1","14,483.9","23,082.1","2,371.1","3,778.7",63.05817039
Jul 2007,"1,551,111.3","2,461,457.6","1,297,758.9","2,059,412.8","59,791.0","94,882.3","102,719.2","163,005.0","68,750.2","109,099.7","22,092.0","35,057.8","1,926.0","3,056.4",63.32600481
Ago 2007,"1,599,193.0","2,527,461.5","1,341,780.4","2,120,631.0","67,913.8","107,335.1","100,838.4","159,371.1","68,654.4","108,505.6","20,006.0","31,618.7","1,998.4","3,158.4",63.58399619
Sep 2007,"1,629,774.0","2,555,947.6","1,377,411.6","2,160,171.8","68,500.0","107,427.4","96,246.9","150,942.4","68,629.1","107,629.9","18,986.4","29,776.1","1,364.2","2,139.5",64.07770259
Oct 2007,"1,672,209.1","2,612,318.0","1,415,103.5","2,210,668.7","69,179.0","108,071.1","97,073.4","151,647.7","68,686.7","107,302.1","22,166.5","34,628.4","1,137.2","1,776.5",64.32740509
Nov 2007,"1,703,563.9","2,642,656.9","1,446,137.7","2,243,324.0","69,538.7","107,872.0","97,343.9","151,004.9","65,830.5","102,119.7","24,713.1","38,336.2","1,141.4","1,770.6",64.78122126
Dic 2007,"1,717,512.4","2,653,324.5","1,459,259.4","2,254,358.6","72,908.9","112,634.4","105,799.8","163,446.4","62,564.9","96,654.3","16,979.4","26,230.9","1,736.3","2,682.3",65.04905568
Ene 2008,"1,738,998.0","2,674,122.1","1,481,714.7","2,278,488.0","69,831.4","107,382.3","108,762.3","167,247.8","61,546.6","94,642.5","17,143.0","26,361.4","1,472.1","2,263.7",65.35056368
Feb 2008,"1,755,240.7","2,691,099.2","1,501,055.0","2,301,386.8","70,266.3","107,730.9","108,636.8","166,559.7","53,476.8","81,989.5","21,805.8","33,432.2","1,651.9","2,532.7",65.5448343
Mar 2008,"1,763,321.1","2,684,034.5","1,423,986.3","2,167,516.9","141,683.1","215,662.6","124,814.1","189,985.4","50,470.6","76,823.7","22,366.9","34,045.7","1,552.6","2,363.3",66.01989072
Abr 2008,"1,781,303.2","2,705,249.8","1,447,221.6","2,197,882.9","141,495.6","214,888.1","123,036.2","186,854.0","45,962.0","69,802.1","23,587.9","35,822.7","1,722.7","2,616.2",66.17012666
