mes_anio,valores_gob_tot,valores_gob_resid,valores_gob_resid_banxico,valores_gob_resid_bdesarrollo,valores_gob_resid_bcomercial,valores_gob_resid_spublico,valores_gob_resid_siefores,valores_gob_resid_sprivado,valores_gob_noresid_sprivado,valores_gob_cargo_gobfed,valores_gob_cargo_banxico,cetes_tot,cetes_resid,cetes_resid_banxico,cetes_resid_bdesarrollo,cetes_resid_bcomercial,cetes_resid_spublico,cetes_resid_siefores,cetes_resid_sprivado,cetes_noresid,cetes_cargo_gobfed,cetes_cargo_banxico,bondes_tot,bondes_resid,bondes_resid_banxico,bondes_resid_bdesarrollo,bondes_resid_bcomercial,bondes_resid_spublico,bondes_resid_siefores,bondes_resid_sprivado,bondes_noresid,bondes_cargo_gobfed,bondes_cargo_banxico,bondesD_tot,bondesD_resid,bondesD_resid_banxico,bondesD_resid_bdesarrollo,bondesD_resid_bcomercial,bondesD_resid_spublico,bondesD_resid_siefores,bondesD_resid_sprivado,bondesD_noresid,bondesD_cargo_gobfed,bondesD_cargo_banxico,udibonos_tot,udibonos_resid,udibonos_resid_banxico,udibonos_resid_bdesarrollo,udibonos_resid_bcomercial,udibonos_resid_spublico,udibonos_resid_siefores,udibonos_resid_sprivado,udibonos_noresid,udibonos_cargo_gobfed,udibonos_cargo_banxico,bonos_tot,bonos_resid,bonos_resid_banxico,bonos_resid_bdesarrollo,bonos_resid_bcomercial,bonos_resid_spublico,bonos_resid_siefores,bonos_resid_sprivado,bonos_noresid,bonos_cargo_gobfed,bonos_cargo_banxico
Jul 2009,"2,742,438,031.00","2,464,804,534.01",0.00,"218,147,849.00","934,100,477.00","131,478,882.64","581,708,565.44","599,368,759.93","277,633,496.99","2,470,113,109.00","272,324,922.00","483,219,229.00","477,203,927.04",0.00,"54,794,969.00","85,036,996.00","70,712,868.99","72,424,753.65","194,234,339.40","6,015,301.96","483,219,229.00",0.00,"32,082,960.00","32,082,960.00",0.00,"113,065.00","2,468,234.00",0.00,"14,688,088.16","14,813,572.84",0.00,"32,082,960.00",0.00,"491,701,482.00","491,621,076.37",0.00,"129,638,072.00","226,109,510.00","199,411.17","16,597,173.31","119,076,909.89","80,405.63","219,376,560.00","272,324,922.00","430,020,130.00","419,115,546.64",0.00,"22,388,992.00","32,809,853.00","24,995,378.34","212,278,616.58","126,642,706.72","10,904,583.36","430,020,130.00",0.00,"1,305,414,230.00","1,044,781,023.96",0.00,"11,212,751.00","587,675,884.00","35,571,224.14","265,719,933.74","144,601,231.08","260,633,206.04","1,305,414,230.00",0.00
Ago 2009,"2,773,703,161.00","2,486,975,023.80",0.00,"216,426,142.00","913,673,383.00","120,487,374.16","592,864,844.61","643,523,280.03","286,728,137.20","2,501,289,355.00","272,413,806.00","502,558,937.00","497,796,838.35",0.00,"50,577,660.00","79,832,509.00","56,203,114.74","83,103,044.60","228,080,510.01","4,762,098.65","502,558,937.00",0.00,"20,793,700.00","20,793,700.00",0.00,"82,510.00","997,273.00",0.00,"11,178,467.46","8,535,449.54",0.00,"20,793,700.00",0.00,"483,375,096.00","483,274,493.47",0.00,"131,767,432.00","213,502,162.00",0.00,"15,655,129.60","122,349,769.87","100,602.53","210,961,290.00","272,413,806.00","444,175,938.00","433,073,979.67",0.00,"22,585,961.00","34,549,304.00","24,935,338.36","218,717,836.04","132,285,540.27","11,101,958.33","444,175,938.00",0.00,"1,322,799,490.00","1,052,036,012.31",0.00,"11,412,579.00","584,792,135.00","39,348,921.06","264,210,366.91","152,272,010.34","270,763,477.69","1,322,799,490.00",0.00
Sep 2009,"2,838,072,324.00","2,531,763,128.38",0.00,"219,513,891.00","944,784,987.00","138,043,767.04","614,952,544.16","614,467,939.18","306,309,195.62","2,565,575,516.00","272,496,808.00","511,178,927.00","501,843,942.80",0.00,"47,936,312.00","100,530,459.00","74,302,327.92","92,332,177.37","186,742,666.51","9,334,984.20","511,178,927.00",0.00,"20,877,700.00","20,877,700.00",0.00,"82,847.00","1,052,887.00",0.00,"11,223,812.92","8,518,153.08",0.00,"20,877,700.00",0.00,"488,484,638.00","488,243,899.74",0.00,"138,721,215.00","206,758,059.00",0.00,"14,951,126.19","127,813,499.55","240,738.26","215,987,830.00","272,496,808.00","458,072,819.00","446,385,968.95",0.00,"21,460,176.00","30,584,890.00","25,370,511.33","229,243,278.76","139,727,112.86","11,686,850.05","458,072,819.00",0.00,"1,359,458,240.00","1,074,411,616.89",0.00,"11,313,341.00","605,858,692.00","38,370,927.79","267,202,148.92","151,666,507.18","285,046,623.11","1,359,458,240.00",0.00
Oct 2009,"2,858,714,327.00","2,537,329,530.73",0.00,"204,122,049.00","916,694,327.00","117,245,096.19","620,016,115.00","679,251,943.54","321,384,796.27","2,603,445,500.00","255,268,827.00","525,558,519.00","516,827,598.19",0.00,"34,900,719.00","102,497,030.00","55,204,600.77","84,818,724.33","239,406,524.09","8,730,920.81","525,558,519.00",0.00,"20,965,880.00","20,956,954.23",0.00,"83,208.00","1,000,458.00",0.00,"11,204,351.98","8,668,936.25","8,925.77","20,965,880.00",0.00,"471,732,267.00","471,627,329.63",0.00,"139,487,551.00","193,895,553.00",0.00,"14,083,689.51","124,160,536.12","104,937.37","216,463,440.00","255,268,827.00","448,704,591.00","436,549,559.43",0.00,"18,175,653.00","12,746,001.00","24,669,935.83","236,141,533.18","144,816,436.42","12,155,031.57","448,704,591.00",0.00,"1,391,753,070.00","1,091,368,089.25",0.00,"11,474,918.00","606,555,285.00","37,370,559.60","273,767,816.00","162,199,510.65","300,384,980.75","1,391,753,070.00",0.00
Nov 2009,"2,904,863,013.00","2,575,864,819.01",0.00,"202,815,644.00","957,202,509.00","100,005,626.48","627,994,728.12","687,846,311.41","328,998,193.99","2,649,515,898.00","255,347,115.00","524,123,170.00","515,273,393.18",0.00,"28,597,298.00","126,274,439.00","43,111,924.00","81,189,752.94","236,099,979.24","8,849,776.82","524,123,170.00",0.00,"21,069,910.00","21,069,910.00",0.00,"83,543.00","1,098,306.00",0.00,"11,251,828.06","8,636,232.94",0.00,"21,069,910.00",0.00,"476,319,715.00","476,115,117.33",0.00,"144,269,432.00","201,346,259.00",0.00,"12,097,005.46","118,402,420.87","204,597.67","220,972,600.00","255,347,115.00","458,577,798.00","445,775,192.22",0.00,"18,386,716.00","9,882,899.00","24,901,205.60","242,679,583.99","149,924,787.63","12,802,605.78","458,577,798.00",0.00,"1,424,772,420.00","1,117,631,206.28",0.00,"11,478,655.00","618,600,606.00","31,992,496.88","280,776,557.67","174,782,890.73","307,141,213.72","1,424,772,420.00",0.00
Dic 2009,"2,767,946,654.00","2,442,158,715.53",0.00,"202,830,125.00","895,752,510.00","93,468,602.62","620,486,104.47","629,621,373.44","325,787,938.47","2,521,759,819.00","246,186,835.00","512,568,049.00","501,121,695.78",0.00,"26,197,004.00","132,191,827.00","39,103,552.42","83,094,961.81","220,534,350.55","11,446,353.22","512,568,049.00",0.00,"20,852,930.00","20,852,930.00",0.00,"82,352.00","1,109,243.00",0.00,"11,104,479.74","8,556,855.26",0.00,"20,852,930.00",0.00,"468,387,865.00","468,277,878.46",0.00,"150,556,682.00","180,277,181.00",0.00,"10,580,518.23","126,863,497.23","109,986.54","222,201,030.00","246,186,835.00","466,402,740.00","453,211,665.53",0.00,"14,376,789.00","13,079,810.00","25,101,534.75","246,600,853.97","154,052,677.81","13,191,074.47","466,402,740.00",0.00,"1,299,735,070.00","998,694,545.76",0.00,"11,617,298.00","569,094,449.00","29,263,515.45","269,105,290.72","119,613,992.59","301,040,524.24","1,299,735,070.00",0.00
Ene 2010,"2,800,077,431.00","2,445,115,343.34",0.00,"193,291,283.00","923,395,182.00","105,681,649.91","625,865,989.92","596,881,238.51","354,962,087.66","2,553,747,470.00","246,329,961.00","505,806,036.00","488,770,923.91",0.00,"20,864,683.00","141,491,518.00","24,849,259.23","81,474,347.85","220,091,115.83","17,035,112.09","505,806,036.00",0.00,"11,090,550.00","11,090,550.00",0.00,"60,193.00","36,158.00",0.00,"7,559,395.25","3,434,803.75",0.00,"11,090,550.00",0.00,"473,779,661.00","472,855,297.56",0.00,"145,871,567.00","171,296,247.00",0.00,"12,234,561.68","143,452,921.88","924,363.44","227,449,700.00","246,329,961.00","478,965,044.00","464,756,272.75",0.00,"15,289,004.00","17,189,317.00","28,370,594.68","249,044,060.06","154,863,297.01","14,208,771.25","478,965,044.00",0.00,"1,330,436,140.00","1,007,642,299.12",0.00,"11,205,836.00","593,381,942.00","52,461,796.00","275,553,625.08","75,039,100.04","322,793,840.88","1,330,436,140.00",0.00
Feb 2010,"2,874,272,682.00","2,505,744,600.38",0.00,"195,093,761.00","961,682,651.00","128,385,164.81","651,782,259.93","568,800,763.64","368,528,081.62","2,635,941,311.00","238,331,371.00","508,495,713.00","488,518,597.06",0.00,"23,012,272.00","128,960,167.00","44,796,954.37","87,165,733.84","204,583,469.85","19,977,115.94","508,495,713.00",0.00,"11,131,100.00","11,131,100.00",0.00,"60,411.00","36,289.00",0.00,"7,585,590.01","3,448,809.99",0.00,"11,131,100.00",0.00,"465,162,551.00","463,538,707.09",0.00,"145,499,496.00","173,331,292.00",0.00,"13,385,239.49","131,322,679.60","1,623,843.91","226,831,180.00","238,331,371.00","488,845,318.00","475,126,395.09",0.00,"15,241,770.00","18,702,543.00","28,493,501.62","249,987,404.08","162,701,176.39","13,718,922.91","488,845,318.00",0.00,"1,400,638,000.00","1,067,429,801.14",0.00,"11,279,812.00","640,652,360.00","55,094,708.83","293,658,292.51","66,744,627.80","333,208,198.86","1,400,638,000.00",0.00
Mar 2010,"2,963,221,647.00","2,556,295,745.37",0.00,"181,125,413.00","966,012,763.00","123,070,063.54","643,254,382.97","642,833,122.86","406,925,901.63","2,724,897,066.00","238,324,581.00","517,315,271.00","481,764,457.62",0.00,"17,386,703.00","121,793,671.00","42,763,055.26","81,279,705.86","218,541,322.50","35,550,813.38","517,315,271.00",0.00,"11,176,260.00","11,176,260.00",0.00,"60,656.00","36,436.00",0.00,"7,366,330.48","3,712,837.52",0.00,"11,176,260.00",0.00,"469,670,681.00","467,376,383.80",0.00,"136,318,467.00","161,842,875.00",0.00,"14,367,706.30","154,847,335.50","2,294,297.20","231,346,100.00","238,324,581.00","515,303,865.00","500,290,741.80",0.00,"15,436,862.00","18,905,090.00","31,186,614.14","261,376,199.43","173,385,976.23","15,013,123.20","515,303,865.00",0.00,"1,449,755,570.00","1,095,687,902.15",0.00,"11,922,725.00","663,434,691.00","49,120,394.13","278,864,440.90","92,345,651.12","354,067,667.85","1,449,755,570.00",0.00
Abr 2010,"3,024,363,435.00","2,572,142,806.92",0.00,"178,665,862.00","981,690,765.00","106,442,128.82","648,109,644.66","657,234,406.44","452,220,628.08","2,794,960,085.00","229,403,350.00","532,584,516.00","484,815,529.71",0.00,"19,696,627.00","130,996,854.00","25,815,825.33","79,900,763.29","228,405,460.09","47,768,986.29","532,584,516.00",0.00,"11,220,560.00","11,220,560.00",0.00,"60,897.00","152,674.00",0.00,"7,179,235.04","3,827,753.96",0.00,"11,220,560.00",0.00,"457,037,190.00","453,971,821.56",0.00,"133,199,478.00","146,479,859.00",0.00,"9,089,996.38","165,202,488.18","3,065,368.44","227,633,840.00","229,403,350.00","526,694,829.00","509,447,078.69",0.00,"15,131,181.00","24,090,206.00","50,962,137.83","268,580,383.84","150,683,170.02","17,247,750.31","526,694,829.00",0.00,"1,496,826,340.00","1,112,687,816.96",0.00,"10,577,679.00","679,971,172.00","29,664,165.66","283,359,266.11","109,115,534.19","384,138,523.04","1,496,826,340.00",0.00
